size,edges,pyspark_rdd_time,pyspark_df_time,scala_rdd_time,scala_df_time,scala_vs_pyspark_rdd,scala_vs_pyspark_df
1000,9948,2.3374528884887695,0.1460809707641601,,,,
1000,9962,,,1.032,1.605,,
5000,49918,2.04150915145874,0.1823821067810058,,,,
5000,49986,,,0.823,3.04,,
10000,99944,1.9772670269012451,0.1425650119781494,,,,
10000,99964,,,0.865,3.841,,
25000,249946,2.8538661003112793,0.3419690132141113,,,,
50000,499946,3.81612229347229,0.371453046798706,,,,
50000,499970,,,1.68,4.445,,
100000,999966,,,2.4,15.996,,
